transaction_47566,acc_9075
transaction_34302,acc_6897
transaction_94430,acc_1505
transaction_23960,acc_5010
transaction_23215,acc_57
transaction_9154,acc_1325
transaction_13382,acc_9040
transaction_60950,acc_6881
transaction_90687,acc_5089
transaction_377,acc_4955
transaction_91599,acc_2635
transaction_97345,acc_6678
transaction_54726,acc_8308
transaction_37532,acc_1237
transaction_66946,acc_1633
transaction_50173,acc_4062
transaction_70869,acc_2627
transaction_41994,acc_8865
transaction_31874,acc_3355
transaction_41593,acc_7134
transaction_22,acc_6413
transaction_40387,acc_6414
transaction_56083,acc_9874
transaction_13540,acc_1891
transaction_8611,acc_3975
transaction_85932,acc_6551
transaction_46541,acc_195
transaction_79441,acc_9159
transaction_14373,acc_8721
transaction_40904,acc_6232
transaction_67733,acc_4220
transaction_6350,acc_4581
transaction_6974,acc_4110
transaction_91508,acc_3758
transaction_26339,acc_5002
transaction_93226,acc_4199
transaction_58106,acc_1742
transaction_35304,acc_5214
transaction_33056,acc_8032
transaction_99679,acc_3102
transaction_94263,acc_7242
transaction_41687,acc_3834
transaction_22821,acc_2390
transaction_71707,acc_7183
transaction_29076,acc_8621
transaction_70496,acc_5908
transaction_93544,acc_1428
transaction_54598,acc_9346
transaction_5582,acc_7637
transaction_5358,acc_9082
transaction_71277,acc_5142
transaction_19722,acc_1836
transaction_40266,acc_9817
transaction_6785,acc_8526
transaction_20399,acc_7474
transaction_25067,acc_948
transaction_64220,acc_7140
transaction_85711,acc_2250
transaction_95295,acc_8710
transaction_17803,acc_9963
transaction_91878,acc_9552
transaction_72772,acc_2305
transaction_40683,acc_6141
transaction_22120,acc_5487
transaction_53893,acc_3998
transaction_11897,acc_2115
transaction_50299,acc_6105
transaction_35927,acc_8380
transaction_50153,acc_7355
transaction_99272,acc_9567
transaction_19984,acc_1203
transaction_52840,acc_8636
transaction_55727,acc_5423
transaction_52555,acc_7028
transaction_34007,acc_4612
transaction_59884,acc_7154
transaction_3179,acc_7748
transaction_97297,acc_9128
transaction_2303,acc_7482
transaction_90625,acc_349
transaction_78605,acc_1904
transaction_68072,acc_2502
transaction_42219,acc_1855
transaction_92643,acc_8960
transaction_87280,acc_6373
transaction_43535,acc_2286
transaction_15376,acc_8681
transaction_44297,acc_3009
transaction_18750,acc_7292
transaction_4864,acc_620
transaction_5445,acc_6780
transaction_204,acc_1517
transaction_80055,acc_2671
transaction_83929,acc_2121
transaction_14181,acc_8613
transaction_41778,acc_3862
transaction_73672,acc_282
transaction_6007,acc_5543
transaction_64582,acc_7299
transaction_59943,acc_583
