acc_7142,transaction_24740
acc_1479,transaction_69396
acc_365,transaction_73863
acc_7837,transaction_32805
acc_9306,transaction_70261
acc_6470,transaction_40268
acc_8979,transaction_11555
acc_1430,transaction_73961
acc_7654,transaction_82120
acc_4360,transaction_97497
acc_6819,transaction_40162
acc_7211,transaction_44856
acc_7734,transaction_20070
acc_6993,transaction_10379
acc_5722,transaction_28708
acc_1361,transaction_96573
acc_8569,transaction_28338
acc_9425,transaction_61606
acc_6577,transaction_78897
acc_7055,transaction_4990
acc_2119,transaction_26598
acc_2496,transaction_62956
acc_9019,transaction_96447
acc_546,transaction_60191
acc_8433,transaction_51573
acc_4502,transaction_27509
acc_9579,transaction_88603
acc_8556,transaction_11237
acc_5270,transaction_46638
acc_3317,transaction_45304
acc_600,transaction_69955
acc_1531,transaction_34032
acc_4225,transaction_92175
acc_741,transaction_70125
acc_2829,transaction_17990
acc_433,transaction_54035
acc_7988,transaction_64112
acc_3218,transaction_14628
acc_3923,transaction_58143
acc_1850,transaction_74592
acc_1858,transaction_34749
acc_8874,transaction_72900
acc_5369,transaction_18435
acc_2348,transaction_96211
acc_9200,transaction_43616
acc_1469,transaction_84709
acc_4811,transaction_61086
acc_4514,transaction_97836
acc_1021,transaction_81524
acc_7371,transaction_77872
acc_3377,transaction_72045
acc_2136,transaction_98334
acc_2331,transaction_43304
acc_2771,transaction_82171
acc_762,transaction_21049
acc_2231,transaction_12342
acc_491,transaction_50589
acc_2117,transaction_70603
acc_6547,transaction_65696
acc_4697,transaction_33983
acc_5992,transaction_210
acc_1527,transaction_14426
acc_549,transaction_12737
acc_2746,transaction_44996
acc_1296,transaction_86750
acc_1367,transaction_15575
acc_8274,transaction_55558
acc_5053,transaction_86376
acc_6944,transaction_65581
acc_6542,transaction_38364
acc_6587,transaction_8092
acc_3249,transaction_73447
acc_4030,transaction_78011
acc_4788,transaction_11283
acc_3801,transaction_17516
acc_6160,transaction_93419
acc_7029,transaction_12855
acc_3533,transaction_62905
acc_6422,transaction_43056
acc_3794,transaction_95978
acc_6054,transaction_63286
acc_5581,transaction_91932
acc_3068,transaction_93241
acc_8294,transaction_29234
acc_3996,transaction_38005
acc_3533,transaction_30042
acc_3797,transaction_52057
acc_4093,transaction_96249
acc_4430,transaction_41280
acc_4978,transaction_24843
acc_6759,transaction_8685
acc_3137,transaction_655
acc_2262,transaction_96623
acc_1334,transaction_21592
acc_3039,transaction_58256
acc_7044,transaction_53158
acc_4393,transaction_76837
acc_7220,transaction_69529
acc_4076,transaction_47725
acc_6516,transaction_22991
